Date,Close/Last,Volume,Open,High,Low
05/19/2023,$11.71,150269300,$11.97,$12.41,$11.52
05/18/2023,$11.74,171402300,$10.46,$11.81,$10.39
05/17/2023,$10.25,63834520,$9.54,$10.285,$9.46
05/16/2023,$9.47,42311910,$9.40,$9.63,$9.35
05/15/2023,$9.52,53555520,$9.21,$9.60,$9.02
05/12/2023,$9.50,62123940,$9.86,$10.01,$9.47
05/11/2023,$9.88,73754070,$10.14,$10.1591,$9.71
05/10/2023,$9.94,149375000,$9.73,$10.30,$9.46
05/09/2023,$9.55,223573300,$9.22,$9.69,$8.655
05/08/2023,$7.74,105304000,$7.64,$7.855,$7.59
05/05/2023,$7.41,45848840,$7.44,$7.55,$7.32
05/04/2023,$7.38,29989340,$7.47,$7.52,$7.28
05/03/2023,$7.56,24322420,$7.62,$7.68,$7.45
05/02/2023,$7.59,38007950,$7.72,$7.91,$7.43
05/01/2023,$7.78,19134160,$7.75,$7.82,$7.66
04/28/2023,$7.75,24915470,$7.77,$8.00,$7.62
04/27/2023,$7.82,21385460,$7.83,$7.91,$7.72
04/26/2023,$7.74,21396730,$7.87,$7.91,$7.65
04/25/2023,$7.74,21849090,$8.00,$8.02,$7.73
04/24/2023,$8.10,20439280,$8.16,$8.25,$7.94
04/21/2023,$8.18,14896710,$8.14,$8.22,$8.09
04/20/2023,$8.15,23573040,$8.29,$8.50,$8.13
04/19/2023,$8.49,18193670,$8.58,$8.6575,$8.48
04/18/2023,$8.73,21185250,$8.93,$9.02,$8.72
04/17/2023,$8.80,26047510,$8.81,$9.04,$8.78
04/14/2023,$8.81,42364530,$8.53,$8.91,$8.47
04/13/2023,$8.58,27983250,$8.50,$8.70,$8.43
04/12/2023,$8.33,28771280,$8.75,$8.775,$8.30
04/11/2023,$8.61,35617850,$8.35,$8.79,$8.34
04/10/2023,$8.39,29184730,$8.00,$8.44,$7.90
04/06/2023,$8.09,23488560,$7.88,$8.14,$7.79
04/05/2023,$7.98,54946870,$8.63,$8.65,$7.84
04/04/2023,$8.35,23961230,$8.53,$8.54,$8.23
04/03/2023,$8.38,22511970,$8.37,$8.53,$8.21
03/31/2023,$8.45,26174840,$8.15,$8.48,$8.08
03/30/2023,$8.15,21001640,$8.33,$8.38,$8.05
03/29/2023,$8.22,15339670,$8.09,$8.25,$8.0512
03/28/2023,$8.00,14860490,$8.06,$8.12,$7.97
03/27/2023,$8.04,20666810,$8.15,$8.32,$7.94
03/24/2023,$8.20,17939820,$8.29,$8.35,$8.06
03/23/2023,$8.33,22662240,$8.32,$8.56,$8.16
03/22/2023,$8.21,34150970,$8.44,$8.62,$8.20
03/21/2023,$8.45,27104480,$8.20,$8.51,$8.17
03/20/2023,$8.08,25497390,$7.765,$8.095,$7.72
03/17/2023,$7.88,20920770,$7.93,$8.03,$7.84
03/16/2023,$7.98,20504460,$8.01,$8.0799,$7.86
03/15/2023,$7.90,28217380,$7.81,$7.99,$7.70
03/14/2023,$7.89,33460110,$8.05,$8.14,$7.78
03/13/2023,$7.87,63183530,$7.29,$8.15,$7.19
03/10/2023,$7.35,41953580,$7.59,$7.68,$7.28
03/09/2023,$7.69,29005920,$8.07,$8.26,$7.68
03/08/2023,$8.13,38723630,$8.36,$8.58,$8.06
03/07/2023,$8.28,26819620,$8.275,$8.425,$8.19
03/06/2023,$8.28,28316230,$8.34,$8.45,$8.20
03/03/2023,$8.33,43229100,$8.00,$8.50,$8.00
03/02/2023,$7.97,36805930,$7.59,$8.03,$7.56
03/01/2023,$7.69,27939110,$7.83,$7.91,$7.69
02/28/2023,$7.84,32937010,$7.96,$8.0973,$7.80
02/27/2023,$8.03,35270010,$8.12,$8.2299,$7.96
02/24/2023,$8.09,41518560,$7.94,$8.20,$7.87
02/23/2023,$8.17,60015540,$8.42,$8.48,$7.91
02/22/2023,$8.36,55346000,$8.48,$8.625,$8.16
02/21/2023,$8.47,65226610,$9.01,$9.10,$8.40
02/17/2023,$9.20,62137800,$9.57,$9.71,$9.085
02/16/2023,$9.71,88638840,$9.65,$10.31,$9.60
02/15/2023,$10.11,153514500,$9.16,$10.23,$9.11
02/14/2023,$9.22,216055200,$8.59,$9.295,$8.23
02/13/2023,$7.61,87397070,$7.58,$7.775,$7.45
02/10/2023,$7.51,43042400,$7.79,$7.86,$7.46
02/09/2023,$7.95,33366660,$8.34,$8.43,$7.94
02/08/2023,$8.22,35105480,$8.25,$8.57,$8.17
02/07/2023,$8.33,42201790,$8.33,$8.41,$8.06
02/06/2023,$8.31,38845470,$8.31,$8.535,$8.24
02/03/2023,$8.41,64785460,$8.54,$8.90,$8.3732
02/02/2023,$8.99,71889710,$8.51,$9.21,$8.47
02/01/2023,$8.20,50123740,$7.73,$8.22,$7.6803
01/31/2023,$7.78,40984040,$7.41,$7.82,$7.38
01/30/2023,$7.37,28567800,$7.50,$7.61,$7.36
01/27/2023,$7.55,37555170,$7.19,$7.73,$7.14
01/26/2023,$7.24,28005620,$7.37,$7.45,$7.04
01/25/2023,$7.22,37147940,$6.92,$7.27,$6.69
01/24/2023,$7.02,22649460,$8.76,$8.76,$5.84
01/23/2023,$7.38,31633290,$7.03,$7.41,$6.991
01/20/2023,$7.02,28751730,$6.76,$7.06,$6.72
01/19/2023,$6.73,24841660,$6.80,$6.895,$6.67
01/18/2023,$6.90,32743430,$7.155,$7.30,$6.88
01/17/2023,$7.07,30910340,$6.99,$7.15,$6.73
01/13/2023,$6.96,20981000,$6.84,$7.01,$6.81
01/12/2023,$7.01,30152470,$7.01,$7.05,$6.78
01/11/2023,$6.98,25936690,$6.84,$6.99,$6.76
01/10/2023,$6.70,28236580,$6.50,$6.72,$6.49
01/09/2023,$6.50,31028880,$6.49,$6.67,$6.40
01/06/2023,$6.40,30596400,$6.40,$6.4499,$6.09
01/05/2023,$6.32,34185990,$6.45,$6.49,$6.25
01/04/2023,$6.58,31660510,$6.48,$6.675,$6.37
01/03/2023,$6.39,29969950,$6.58,$6.64,$6.275
12/30/2022,$6.42,27830900,$6.19,$6.42,$6.19
